"state","puma22","zcta","stab","ZIPName","PUMA22name","hus20","afact"
"State code","PUMA (2022)","ZIP census tabulation area","State abbr.","ZIP Code name","PUMA22 name","Total housing units (2020 Census)","puma22-to-zcta allocation factor"
"06","00101","94618","CA","Oakland, CA","Alameda County (North)--Berkeley & Albany Cities",26,0.0004 
"06","00101","94702","CA","Berkeley, CA","Alameda County (North)--Berkeley & Albany Cities",8202,0.1362 
"06","00101","94703","CA","Berkeley, CA","Alameda County (North)--Berkeley & Albany Cities",9662,0.1604 
"06","00101","94704","CA","Berkeley, CA","Alameda County (North)--Berkeley & Albany Cities",10350,0.1718 
"06","00101","94705","CA","Berkeley, CA","Alameda County (North)--Berkeley & Albany Cities",5400,0.0896 
"06","00101","94706","CA","Albany, CA","Alameda County (North)--Berkeley & Albany Cities",8369,0.1389 
"06","00101","94707","CA","Berkeley, CA","Alameda County (North)--Berkeley & Albany Cities",4048,0.0672 
"06","00101","94708","CA","Berkeley, CA","Alameda County (North)--Berkeley & Albany Cities",4054,0.0673 
"06","00101","94709","CA","Berkeley, CA","Alameda County (North)--Berkeley & Albany Cities",5743,0.0953 
"06","00101","94710","CA","Berkeley, CA","Alameda County (North)--Berkeley & Albany Cities",3840,0.0637 
"06","00101","94720","CA","Berkeley, CA","Alameda County (North)--Berkeley & Albany Cities",544,0.009 
"06","00111","94607","CA","Oakland, CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",13165,0.2532 
"06","00111","94608","CA","Emeryville, CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",9110,0.1752 
"06","00111","94609","CA","Oakland, CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",6719,0.1292 
"06","00111","94610","CA","Oakland, CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",6776,0.1303 
"06","00111","94611","CA","Oakland, CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",3129,0.0602 
"06","00111","94612","CA","Oakland, CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",11273,0.2168 
"06","00111","94618","CA","Oakland, CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",1763,0.0339 
"06","00111","94705","CA","Berkeley, CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",52,0.001 
"06","00112","94602","CA","Oakland, CA","Alameda County (Northwest)--Oakland City (Oakland Hills)",8746,0.1776 
"06","00112","94605","CA","Oakland, CA","Alameda County (Northwest)--Oakland City (Oakland Hills)",4460,0.0905 
"06","00112","94609","CA","Oakland, CA","Alameda County (Northwest)--Oakland City (Oakland Hills)",4419,0.0897 
"06","00112","94610","CA","Oakland, CA","Alameda County (Northwest)--Oakland City (Oakland Hills)",6561,0.1332 
"06","00112","94611","CA","Oakland, CA","Alameda County (Northwest)--Oakland City (Oakland Hills)",12895,0.2618 
"06","00112","94618","CA","Oakland, CA","Alameda County (Northwest)--Oakland City (Oakland Hills)",5998,0.1218 
"06","00112","94619","CA","Oakland, CA","Alameda County (Northwest)--Oakland City (Oakland Hills)",5213,0.1058 
"06","00112","94704","CA","Berkeley, CA","Alameda County (Northwest)--Oakland City (Oakland Hills)",60,0.0012 
"06","00112","94705","CA","Berkeley, CA","Alameda County (Northwest)--Oakland City (Oakland Hills)",895,0.0182 
"06","00112","94720","CA","Berkeley, CA","Alameda County (Northwest)--Oakland City (Oakland Hills)",9,0.0002 
"06","00113","94601","CA","Oakland, CA","Alameda County (West)--Oakland City (Elmhurst/Central/East Oakland)",4123,0.1052 
"06","00113","94603","CA","Oakland, CA","Alameda County (West)--Oakland City (Elmhurst/Central/East Oakland)",10381,0.2649 
"06","00113","94605","CA","Oakland, CA","Alameda County (West)--Oakland City (Elmhurst/Central/East Oakland)",12325,0.3145 
