"zcta","state","puma22","stab","ZIPName","PUMA22name","pop20","afact"
"ZIP census tabulation area","State code","PUMA (2022)","State abbr.","ZIP Code name","PUMA22 name","Total population (2020 Census)","zcta-to-puma22 allocation factor"
" ","06","00300","CA","[not in a ZCTA]","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",142,0.0959 
" ","06","00700","CA","[not in a ZCTA]","Butte County--Chico City",16,0.0108 
" ","06","01100","CA","[not in a ZCTA]","Colusa, Glenn, Tehama & Trinity Counties",188,0.1269 
" ","06","01308","CA","[not in a ZCTA]","Contra Costa County (Northeast)--Antioch City",3,0.002 
" ","06","01500","CA","[not in a ZCTA]","Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties",134,0.0905 
" ","06","01700","CA","[not in a ZCTA]","El Dorado County--El Dorado Hills, South Lake Tahoe City & Placerville City",17,0.0115 
" ","06","01901","CA","[not in a ZCTA]","Fresno County (West)--Selma, Kerman & Coalinga Cities",3,0.002 
" ","06","01907","CA","[not in a ZCTA]","Fresno County (East)--Sanger, Reedley & Parlier Cities",48,0.0324 
" ","06","02300","CA","[not in a ZCTA]","Humboldt County",23,0.0155 
" ","06","02905","CA","[not in a ZCTA]","Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities",109,0.0736 
" ","06","02906","CA","[not in a ZCTA]","Kern County (West)--Delano, Wasco & Shafter Cities",34,0.023 
" ","06","03100","CA","[not in a ZCTA]","Kings County--Hanford City",3,0.002 
" ","06","03300","CA","[not in a ZCTA]","Lake & Mendocino Counties",31,0.0209 
" ","06","03768","CA","[not in a ZCTA]","Los Angeles County (Southwest)--Palos Verdes Peninsula",160,0.108 
" ","06","03772","CA","[not in a ZCTA]","Los Angeles County (North/Unincorporated)--Castaic",10,0.0068 
" ","06","03900","CA","[not in a ZCTA]","Madera County--Madera City",5,0.0034 
" ","06","04701","CA","[not in a ZCTA]","Merced County (West & South)--Los Banos & Livingston Cities",9,0.0061 
" ","06","04702","CA","[not in a ZCTA]","Merced County (Northeast)--Merced & Atwater Cities",24,0.0162 
" ","06","05303","CA","[not in a ZCTA]","Monterey (South & East) & San Benito Counties",44,0.0297 
" ","06","05700","CA","[not in a ZCTA]","Nevada & Sierra Counties",64,0.0432 
" ","06","06103","CA","[not in a ZCTA]","Placer County (East/High Country Region)--Auburn & Colfax Cities",11,0.0074 
" ","06","06501","CA","[not in a ZCTA]","Riverside County (East)--Indio, Coachella, Blythe & La Quinta (East) Cities",11,0.0074 
" ","06","06515","CA","[not in a ZCTA]","Riverside County (Central)--Palm Desert, La Quinta (West) & Desert Hot Springs Cities",3,0.002 
" ","06","07101","CA","[not in a ZCTA]","San Bernardino County (Northeast)--Twentynine Palms & Barstow Cities",54,0.0365 
" ","06","07102","CA","[not in a ZCTA]","San Bernardino County (West Central)--Victorville & Adelanto Cities",2,0.0014 
" ","06","07104","CA","[not in a ZCTA]","San Bernardino County (Southwest)--Phelan, Lake Arrowhead & Big Bear City",6,0.0041 
" ","06","07302","CA","[not in a ZCTA]","San Diego County (North & East)--Fallbrook, Alpine & Valley Center",89,0.0601 
" ","06","07328","CA","[not in a ZCTA]","San Diego County (South Central)--Lemon Grove City, La Presa & Spring Valley",46,0.0311 
" ","06","07508","CA","[not in a ZCTA]","San Francisco County (Northwest)--Richmond, Western Addition & Presidio",17,0.0115 
" ","06","07513","CA","[not in a ZCTA]","San Francisco County (Southwest)--Ingleside & South Central",15,0.0101 
" ","06","07902","CA","[not in a ZCTA]","San Luis Obispo County (East)--Inland Region",10,0.0068 
" ","06","08102","CA","[not in a ZCTA]","San Mateo County (North Central)--South San Francisco, San Bruno & Brisbane Cities PU",30,0.0203 
" ","06","08302","CA","[not in a ZCTA]","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities",8,0.0054 
" ","06","08303","CA","[not in a ZCTA]","Santa Barbara County--South Coast Region",21,0.0142 
" ","06","08506","CA","[not in a ZCTA]","Santa Clara County (East)--Gilroy, Morgan Hill & San Jose (South) Cities",6,0.0041 
" ","06","08522","CA","[not in a ZCTA]","Santa Clara County (Northwest)--Mountain View & Los Altos Cities",36,0.0243 
" ","06","08900","CA","[not in a ZCTA]","Shasta County--Redding City",21,0.0142 
" ","06","10703","CA","[not in a ZCTA]","Tulare County (Outside Visalia, Tulare & Porterville Cities)",18,0.0122 
" ","06","11102","CA","[not in a ZCTA]","Ventura County (Southeast)--Thousand Oaks City",1,0.0007 
" ","06","11108","CA","[not in a ZCTA]","Ventura County (Southeast)--Simi Valley City",9,0.0061 
"89010","06","00300","CA","Dyer, NV","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",10,1 
"89019","06","00300","CA","Jean, NV","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",5,0.1923 
"89019","06","07101","CA","Jean, NV","San Bernardino County (Northeast)--Twentynine Palms & Barstow Cities",21,0.8077 
"89060","06","00300","CA","Pahrump, NV","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",30,1 
"89061","06","00300","CA","Pahrump, NV","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",58,1 
"89439","06","05700","CA","Verdi, NV (PO boxes)","Nevada & Sierra Counties",179,1 
"90001","06","03742","CA","Los Angeles, CA","Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park PUM",44698,0.8002 
"90001","06","03751","CA","Los Angeles, CA","Los Angeles County (South Central)--LA City (South Central/Watts)",11161,0.1998 
"90002","06","03742","CA","Los Angeles, CA","Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park PUM",16166,0.3042 
"90002","06","03751","CA","Los Angeles, CA","Los Angeles County (South Central)--LA City (South Central/Watts)",36984,0.6958 
"90003","06","03750","CA","Los Angeles, CA","Los Angeles County (South Central)--LA City (South Central/Westmont)",7001,0.0962 
"90003","06","03751","CA","Los Angeles, CA","Los Angeles County (South Central)--LA City (South Central/Watts)",65763,0.9038 
"90004","06","03730","CA","Los Angeles, CA","Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire)",6119,0.1044 
"90004","06","03732","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (East Central & Hollywood)",28836,0.4922 
"90004","06","03733","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (Central/Koreatown)",23237,0.3966 
"90004","06","03734","CA","Los Angeles, CA","Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake)",393,0.0067 
"90005","06","03730","CA","Los Angeles, CA","Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire)",11080,0.2917 
"90005","06","03733","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (Central/Koreatown)",26907,0.7083 
"90006","06","03730","CA","Los Angeles, CA","Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire)",248,0.0043 
"90006","06","03733","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (Central/Koreatown)",30617,0.5258 
"90006","06","03734","CA","Los Angeles, CA","Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake)",12504,0.2147 
"90006","06","03746","CA","Los Angeles, CA","Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park)",14860,0.2552 
"90007","06","03744","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUM",1298,0.0317 
"90007","06","03745","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (Southeast/East Vernon)",1628,0.0398 
"90007","06","03746","CA","Los Angeles, CA","Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park)",38018,0.9285 
"90008","06","03747","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills)",32907,0.9959 
"90008","06","03748","CA","Los Angeles, CA","Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities",134,0.0041 
"90010","06","03730","CA","Los Angeles, CA","Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire)",1456,0.2696 
"90010","06","03733","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (Central/Koreatown)",3944,0.7304 
"90011","06","03742","CA","Los Angeles, CA","Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park PUM",11,0.0001 
"90011","06","03744","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUM",2392,0.0234 
"90011","06","03745","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (Southeast/East Vernon)",99842,0.9759 
"90011","06","03751","CA","Los Angeles, CA","Los Angeles County (South Central)--LA City (South Central/Watts)",63,0.0006 
"90012","06","03734","CA","Los Angeles, CA","Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake)",4773,0.141 
"90012","06","03744","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUM",29078,0.859 
"90013","06","03744","CA","Los Angeles, CA","Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUM",15589,1 
